Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"D? án The Empire - Vinhomes Ocean Park 2, X? Long Hýng, Vãn Giang, Hýng Yên",84,,,,,4,,,Have certificate,,8.6
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",60,,,,,5,,,,,7.5
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",90,6,13,Ðông - B?c,Ðông - B?c,5,,,Sale contract,,8.9
"Ðý?ng Nguy?n Vãn Kh?i, Phý?ng 11, G? V?p, H? Chí Minh",54,,3.5,Tây - Nam,Tây - Nam,2,2,3,Have certificate,Full,5.35
"Ðý?ng Quang Trung, Phý?ng 8, G? V?p, H? Chí Minh",92,,,Ðông - Nam,Ðông - Nam,2,4,4,Have certificate,Full,6.9
"D? án The Empire - Vinhomes Ocean Park 2, X? Long Hýng, Vãn Giang, Hýng Yên",91,7,13,Tây - B?c,,,,,Have certificate,,9.8
"D? án The Empire - Vinhomes Ocean Park 2, X? Long Hýng, Vãn Giang, Hýng Yên",64,4,,,,5,,,,,7.2
"D? án Him Lam Thý?ng Tín, Huy?n Thý?ng Tín, Hà N?i",74,5,18,Nam,Nam,5,4,5,Have certificate,,9.9
"D? án The Empire - Vinhomes Ocean Park 2, X? Long Hýng, Vãn Giang, Hýng Yên",48,,,,,5,6,,,Basic,5.7
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",91,7,,,,5,,,Have certificate,,9.5
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",80,5,13,Ðông - Nam,,5,6,6,Have certificate,,10
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",70,6,13,Ðông - Nam,,5,6,,,,9.8
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",60,,,,,5,,,,,8.9
"D? án The Empire - Vinhomes Ocean Park 2, X? Long Hýng, Vãn Giang, Hýng Yên",91,,,,,,,,Have certificate,,8.6
"D? án The Empire - Vinhomes Ocean Park 2, X? Long Hýng, Vãn Giang, Hýng Yên",96,6,13,Tây - B?c,,4,,,Sale contract,,9.6
"Ðý?ng Ph?m Vãn Chiêu, Phý?ng 14, G? V?p, H? Chí Minh",30,,,Ðông - Nam,,2,2,2,Have certificate,Full,3.79
"D? án Khu ðô th? Phýõng Ðông, X? Ðông Xá, Vân Ð?n, Qu?ng Ninh",300,15,32,Ðông,Nam,3,6,3,Have certificate,Full,9.4
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",91,7,17,Ðông - Nam,Ðông - Nam,,,,,Basic,10
"D? án The Empire - Vinhomes Ocean Park 2, X? Long Hýng, Vãn Giang, Hýng Yên",65,5,20,Ðông - Nam,Ðông - Nam,5,5,4,Sale contract,,7.8
"Ðý?ng Quang Trung, Phý?ng 12, G? V?p, H? Chí Minh",46,4.6,6,Ðông - Nam,Ðông - Nam,4,4,5,Have certificate,Full,7.99
"D? án The Empire - Vinhomes Ocean Park 2, X? Long Hýng, Vãn Giang, Hýng Yên",75,5,13,Tây - Nam,Ðông - B?c,5,7,5,Sale contract,,8.7
"D? án Sun Casa Central, Ðý?ng Dân Ch?, X? V?nh Tân, Tân Uyên, B?nh Dýõng",100,,,,,3,3,3,,,3.3
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",84,6,,Tây - B?c,,5,,,,,9.45
"Ðý?ng Ngô T?t T?, Phý?ng 22, B?nh Th?nh, H? Chí Minh",60,3.5,5,Ðông - Nam,Ðông,2,6,5,Have certificate,Full,5.6
"D? án Vý?n Vua Resort & Villas, Ðý?ng 316, X? Ð?ng Trung, Thanh Th?y, Phú Th?",369,15,12,Ðông - Nam,Ðông - Nam,2,4,4,Have certificate,Full,6.3
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",75,5,13,Tây - Nam,Tây - Nam,,,,Have certificate,,7.7
"Ðý?ng Nguy?n Vãn Ð?u, Phý?ng 6, B?nh Th?nh, H? Chí Minh",55,5,,,,2,4,,Have certificate,Basic,3.25
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",78,6,,,,5,,,Have certificate,,9.59
"Ðý?ng Ph?m Vãn Chiêu, Phý?ng 9, G? V?p, H? Chí Minh",67.4,4,8,,,5,4,6,Have certificate,Basic,9.5
"Ðý?ng S? 4, Phý?ng 16, G? V?p, H? Chí Minh",28,,3,,,2,2,2,Have certificate,Full,3.88
"D? án VSIP 1, Ðý?ng D11, Phý?ng An Phú, Thu?n An, B?nh Dýõng",150,,,B?c,,2,7,,Have certificate,,6.7
